"","clean_name","original_name","Compound_identifier","cid"
"7171","trans-beta-ionone","trans-beta-ionone","C6624",638014
"7172","trans-beta-ionone-5,6-epoxide","trans-beta-ionone-5,6-epoxide","C6625",NA
"7173","trans-beta-ocimene","trans-beta-ocimene","C7109",5281553
"7174","trans-beta-ocimene","trans-beta-ocimene","C7109",5281553
"7175","trans-beta-ocimene","trans -beta- ocimene","C6777",5281553
"7176","trans-beta-ocimene","trans -beta- ocimene","C6777",5281553
"7177","trans-beta-ocimene (E)","trans-beta-ocimene (e)","C6626",NA
"7178","trans-beta-ocimene epoxide","trans-beta-ocimene epoxide","C6627",NA
"7179","trans-beta-santalol","trans-beta-santalol","C6628",6450269
"7180","trans-beta-sesquiphellandrol","trans-beta-sesquiphellandrol","C6629",NA
"7181","trans-beta-terpineol","trans-beta-terpineol","C6630",8748
"7182","trans-cadin-alpha-1(2),4-diene","trans-cadin-alpha-1(2),4-diene","C6632",NA
"7183","trans-cadin-alpha-1(6),4-diene","trans-cadin-alpha-1(6),4-diene","C6633",NA
"7184","trans-cadin-alpha-1,4-diene","trans-cadin-alpha-1,4-diene","C6634",NA
"7185","trans-cadina-1(2),4-diene","trans-cadina-1(2),4-diene","C6635",NA
"7186","trans-cadina-1(6),4-diene","trans-cadina-1(6),4-diene","C7110",NA
"7187","trans-cadina-1,4-diene","trans-cadina-1,4-diene","C6636",NA
"7188","trans-cadina 1,4-diene","trans-cadina 1,4-diene","C6637",NA
"7189","trans-cadina 1,4 diene","trans - cadina 1,4 diene","C6774",NA
"7190","trans-cadine-1-(6)-4-diene","trans-cadine-1-(6)-4-diene","C6638",NA
"7191","trans-cadinena-1(6),4-diene","trans-cadinena-1(6),4-diene","C6639",NA
"7192","trans-cadinene ether","trans-cadinene ether","C6640",NA
"7193","trans-calamen-10-ol","trans-calamen-10-ol","C6641",NA
"7194","trans-calamene","trans-calamene","C6642",NA
"7195","trans-calamenen-10-ol","trans-calamenen-10-ol","C6643",10798883
"7196","trans-calamenene","trans-calamenene","C7111",6429022
"7197","trans-calamenene-10-ol","trans-calamenene-10-ol","C6644",NA
"7198","trans-calmenene","trans-calmenene","C7112",NA
"7199","trans-caranone (3-isocaranone)","trans-caranone (3-isocaranone)","C6645",NA
"7200","trans-carveol","trans-carveol","C7113",94221
"7201","trans-carveol+cis-calamenene","trans-carveol+cis-calamenene","C6646",NA
"7202","trans-carvone oxide","trans-carvone oxide","C6647",NA
"7203","trans-carvyl acetate","trans-carvyl acetate","C6648",6951358
"7204","trans-carvylacetate","trans-carvylacetate","C6649",NA
"7205","trans-caryophyllene","trans-caryophyllene","C7114",5281515
"7206","trans-caryophyllene oxide","trans-caryophyllene oxide","C6650",1742210
"7207","trans-caveol","trans-caveol","C6651",NA
"7208","trans-cavoneoxide","trans-cavoneoxide","C6652",NA
"7209","trans-chrysanthemal","trans-chrysanthemal","C7115",6432223
"7210","trans-chrysanthemyl acetate","trans-chrysanthemyl acetate","C6653",NA
"7211","trans-chrysanthenol","trans-chrysanthenol","C7116",NA
"7212","trans-chrysanthenyl acetate","trans-chrysanthenyl acetate","C7117",162747
"7213","trans-chrysanthenylacetate","trans-chrysanthenylacetate","C6654",NA
"7214","trans-cinnamaldehyde","trans-cinnamaldehyde","C6655",637511
"7215","trans-clamenene","trans-clamenene","C6656",NA
"7216","trans-dauc-8-en-11-ol (1)","trans-dauc-8-en-11-ol (1)","C6657",NA
"7217","trans-daucalpha-4(11),7-diene","trans-daucalpha-4(11),7-diene","C6658",NA
"7218","trans-dehydrocarvone","trans-dehydrocarvone","C6659",NA
"7219","trans-dehydroxy-linalooloxide","trans-dehydroxy-linalooloxide","C6660",NA
"7220","trans-delta-bergamotene","trans-delta-bergamotene","C6661",NA
"7221","trans-delta-menth-2-en-7-ol","trans-delta-menth-2-en-7-ol","C6662",NA
"7222","trans-dictamnol","trans-dictamnol","C6663",NA
"7223","trans-dihydro-alpha-terpineol","trans-dihydro-alpha-terpineol","C6664",NA
"7224","trans-dihydro-carvone","trans-dihydro-carvone","C6665",NA
"7225","trans-dihydrocarvone","trans-dihydrocarvone","C7118",443181
"7226","trans-dihydrocarvyl acetate","trans-dihydrocarvyl acetate","C7119",NA
"7227","trans-dihydrooccidentalol","trans-dihydrooccidentalol","C6666",NA
"7228","trans-e-jasmonol","trans-e-jasmonol","C6667",NA
"7229","trans-en-in-dicycloether","trans-en-in-dicycloether","C6668",NA
"7230","trans-en-yn-bicycloether","trans-en-yn-bicycloether","C6669",NA
"7231","trans-epoxyocimene","trans-epoxyocimene","C6670",6429141
"7232","trans-ethyl cinnamate","trans-ethyl cinnamate","C7120",637758
"7233","trans-farnesol","trans-farnesol","C6671",445070
"7234","trans-ferruginol","trans-ferruginol","C6672",442027
"7235","trans-gamma-bisabolene","trans-gamma-bisabolene","C6673",NA
"7236","Trans-gamma-Cadinene","Trans-gamma-Cadinene","C6674",NA
"7237","trans-geraniol","trans-geraniol","C6675",637566
"7238","trans-geranyl acetate","trans-geranyl acetate","C6676",1549025
"7239","trans-hex-2-enal","trans-hex-2-enal","C6677",5281168
"7240","trans-hydroxy-delta-cadinene","trans-hydroxy-delta-cadinene","C6678",NA
"7241","trans-isolongifol-5-ol","trans-isolongifol-5-ol","C6679",NA
"7242","trans-isolongifolanone","trans-isolongifolanone","C6680",6427070
"7243","trans-isomyristicin","trans-isomyristicin","C6681",6436484
"7244","trans-isoosmorhizol","trans-isoosmorhizol","C6682",NA
"7245","trans-isopulegone","trans-isopulegone","C6683",6432305
"7246","trans-limonene","trans-limonene","C6684",NA
"7247","trans-limonene oxide","trans-limonene oxide","C7121",NA
"7248","trans-linalool oxide","trans-linalool oxide","C7122",6432254
"7249","trans-linalool oxide (furanoid)","trans-linaloolÂ oxideÂ (furanoid","C6688",6432254
"7250","trans-linalool oxide (furanoid)","trans-linaloolÂ oxideÂ (furanoid","C6688",6432254
"7251","trans-linalool oxide (furanoid)","trans-linalool oxide (furanoid)","C7123",6432254
"7252","trans-linalool oxide (furanoid)","trans-linalool oxide (furanoid)","C7123",6432254
"7253","trans-linalool oxide (pyranoid)","trans-linaloolÂ oxideÂ (pyranoid","C6689",NA
"7254","trans-linalool oxide (pyranoid)","trans-linalool oxide (pyranoid)","C7124",NA
"7255","trans-linalool oxide acetate","trans-linalool oxide acetate","C6685",NA
"7256","trans-linalool oxide acetate (pyranoid)","trans-linalool oxide acetate (pyranoid)","C7125",6427501
"7257","trans-linalool oxide acetophenone","trans-linalool oxide acetophenone","C6686",NA
"7258","trans-linalool oxidec","trans-linalool oxidec","C6687",NA
"7259","trans-linalyl oxide acetate","trans-linalyl oxide acetate","C6690",NA
"7260","trans-longipinanol","trans-longipinanol","C6691",91746582
"7261","trans-m-mentha-2,8-diene","trans-m-mentha-2,8-diene","C6692",NA
"7262","trans-m-mentha-4,8-diene","trans-m-mentha-4,8-diene","C6693",NA
"7263","trans-menth-2-en-1-ol","trans-menth-2-en-1-ol","C6694",NA
"7264","trans-menth-l,6-dien-8-ol","trans-menth-l,6-dien-8-ol","C6695",NA
"7265","trans-mentha-1(7)8-dien-2-ol","trans-mentha-1(7)8-dien-2-ol","C7126",NA
"7266","trans-mentha-1,8-dien-6-ol","trans-mentha-1,8-dien-6-ol","C6696",NA
"7267","trans-mentha-1,8-diene-6-ol","trans-mentha-1,8-diene-6-ol","C6697",NA
"7268","trans-mentha-2-en-1-ol","trans-mentha-2-en-1-ol","C6698",NA
"7269","trans-menthone","trans-menthone","C6699",26447
"7270","trans-muurola-3,5-diene","trans-muurola-3,5-diene","C7127",NA
"7271","trans-muurola-4(14)-5-diene","trans-muurola-4(14)-5-diene","C6700",NA
"7272","trans-muurola-4(14),5-diene","trans-muurola-4(14),5-diene","C6701",NA
"7273","trans-muurolalpha-3,5-diene","trans-muurolalpha-3,5-diene","C6702",NA
"7274","trans-muurolalpha-4(14),5-diene","trans-muurolalpha-4(14),5-diene","C6703",NA
"7275","trans-muurole-4(14),5-diene","trans-muurole-4(14),5-diene","C6704",NA
"7276","trans-muurolene-4(14),5-diene","trans-muurolene-4(14),5-diene","C6705",NA
"7277","trans-myroxide","trans-myroxide","C6706",NA
"7278","trans-myrtanal","trans-myrtanal","C6707",NA
"7279","trans-myrtanol","trans-myrtanol","C6708",6452351
"7280","trans-myrtanyl acetate","trans-myrtanyl acetate","C6709",16656318
"7281","trans-myrtenol","trans-myrtenol","C6710",NA
"7282","trans-myrtenol acetate","trans-myrtenol acetate","C6711",NA
"7283","trans-nerolidol","trans - nerolidol","C6775",5284507
"7284","trans-nerolidol","trans - nerolidol","C6775",5284507
"7285","trans-nerolidol","trans-nerolidol","C6712",5284507
"7286","trans-nerolidol","trans-nerolidol","C6712",5284507
"7287","trans-nuciferol","trans-nuciferol","C6713",5370837
"7288","trans-ocimene","trans-ocimene","C6714",5281553
"7289","trans-ocimenol","trans-ocimenol","C6715",6430998
"7290","trans-p-2-menthen-1-ol","trans-p-2-menthen-1-ol","C6716",122484
"7291","trans-p-menth-1(7),8-dien-2-ol","trans-p-menth-1(7),8-dien-2-ol","C6717",NA
"7292","trans-p-menth-2-en-1-ol","trans-p-menth-2-en-1-ol","C7132",122484
"7293","trans-p-menth-2-en-1,8-diol","trans-p-menth-2-en-1,8-diol","C6718",NA
"7294","trans-p-menth-2-en-1,8-diol+beta-bisabolene","trans-p-menth-2-en-1,8-diol+beta-bisabolene","C6719",NA
"7295","trans-p-menth-2-en-1,8-ol","trans-p-menth-2-en-1,8-ol","C6720",NA
"7296","trans-p-menth-2-en-ol","trans-p-menth-2-en-ol","C6721",NA
"7297","trans-p-menth-2,8-dien-1-ol","trans-p-menth-2,8-dien-1-ol","C6722",NA
"7298","trans-p-menth-8-en-2-ol","trans-p-menth-8-en-2-ol","C6723",NA
"7299","trans-p-mentha-1(7),2-dien-8-ol","trans-p-mentha-1(7),2-dien-8-ol","C6724",NA
"7300","trans-p-mentha-1(7),8-dien-2-ol","trans-p-mentha-1(7),8-dien-2-ol","C7133",NA
"7301","trans-p-mentha-1,8-dien-1-ol","trans-p-mentha-1,8-dien-1-ol","C6725",NA
"7302","trans-p-mentha-1,8-dien-2-ol","trans-p-mentha-1,8-dien-2-ol","C6726",NA
"7303","trans-p-mentha-1,8-dien-4-ol","trans-p-mentha-1,8-dien-4-ol","C6727",NA
"7304","trans-p-mentha-1,8-dien-6-ol","trans-p-mentha-1,8-dien-6-ol","C6728",NA
"7305","trans-p-mentha-2-en-1-ol","trans-p-mentha-2-en-1-ol","C6729",122484
"7306","trans-p-mentha-2-en-1-ol c","trans-p-mentha-2-en-1-ol c","C6730",NA
"7307","trans-p-mentha-2-en-1,8-diol","trans-p-mentha-2-en-1,8-diol","C6731",NA
"7308","trans-p-mentha-2,8-dien-1-ol","trans-p-mentha-2,8-dien-1-ol","C6732",NA
"7309","trans-p-mentha-2,8(9)-dien-1-ol","trans-p-mentha -2,8(9)-dien-1-ol","C6733",NA
"7310","trans-p-menthane-3-one","trans-p-menthane-3-one","C6734",NA
"7311","trans-p-menthofuran-2-en-1-ol","trans-p-menthofuran-2-en-1-ol","C6735",NA
"7312","trans-p-piperitol","trans-p-piperitol","C6736",NA
"7313","trans-para-2-menthen-1-ol","trans-para-2-menthen-1-ol","C6737",NA
"7314","trans-para-menth-2-en-1-ol","trans-para-menth-2-en-1-ol","C6738",122484
"7315","trans-phytol","trans-phytol","C7128",5280435
"7316","trans-pinacarveol","trans-pinacarveol","C6739",NA
"7317","trans-pinan-2-ol","trans-pinan-2-ol","C6740",220076
"7318","trans-pinane","trans-pinane","C6741",91015300
"7319","trans-pinene hydrate","trans-pinene hydrate","C7129",6428289
"7320","trans-pinenehydrate","trans-pinenehydrate","C6742",NA
"7321","trans-pinocamphone","trans-pinocamphone","C6743",11038
"7322","trans-pinocarveol","transÂ -pinocarveol","C6785",102667
"7323","trans-pinocarveol","transÂ -pinocarveol","C6785",102667
"7324","trans-pinocarveol","trans-pinocarveol","C7130",102667
"7325","trans-pinocarveol","trans-pinocarveol","C7130",102667
"7326","trans-pinocarvyl acetate","trans-pinocarvyl acetate","C6744",102553
"7327","trans-pinocatvyl acetate","trans-pinocatvyl acetate","C6745",NA
"7328","trans-pinovarveol","trans-pinovarveol","C6746",NA
"7329","trans-piperitenone","trans-piperitenone","C6747",NA
"7330","trans-piperito","trans-piperito","C6748",NA
"7331","trans-piperitol","trans-piperitol","C6749",85568
"7332","trans-piperitone","trans-piperitone","C6750",NA
"7333","trans-piperitone epoxide","trans-piperitone epoxide","C6751",12492569
"7334","trans-piperitone oxide","trans-piperitone oxide","C7131",6430800
"7335","trans-pipertone epoxide","trans-pipertone epoxide","C6752",NA
"7336","trans-propenyl methyl disulfide","trans-propenyl methyl disulfide","C6753",NA
"7337","trans-pulegol","trans-pulegol","C6754",12314755
"7338","trans-rose oxide","trans-rose oxide","C7134",7093102
"7339","trans-sabinene","trans-sabinene","C6755",NA
"7340","trans-sabinene hydrate","trans - sabinene hydrate","C6776",12315151
"7341","trans-sabinene hydrate","trans - sabinene hydrate","C6776",12315151
"7342","trans-sabinene hydrate","trans - sabinene hydrate","C6776",12315151
"7343","trans-sabinene hydrate","trans-sabinene hydrate","C7135",12315151
"7344","trans-sabinene hydrate","trans-sabinene hydrate","C7135",12315151
"7345","trans-sabinene hydrate","trans-sabinene hydrate","C7135",12315151
"7346","trans-sabinene hydrate","trans-sabineneÂ hydrate","C6757",12315151
"7347","trans-sabinene hydrate","trans-sabineneÂ hydrate","C6757",12315151
"7348","trans-sabinene hydrate","trans-sabineneÂ hydrate","C6757",12315151
"7349","trans-sabinene hydrate acetate","trans-sabinene hydrate acetate","C6756",6427504
"7350","trans-sabinenehydrate","trans-sabinenehydrate","C6758",6431628
"7351","trans-sabinenhydrate","trans-sabinenhydrate","C6759",NA
"7352","trans-sabinol","trans-sabinol","C7136",6429076
"7353","trans-sabinol+borneol","trans-sabinol+borneol","C6760",NA
"7354","trans-sabinyl acetate","trans-sabinyl acetate","C7137",6430313
"7355","trans-sesquilavandulol","trans-sesquilavandulol","C6761",5352145
"7356","trans-sesquisabinene hydrate","trans-sesquisabinene hydrate","C6762",20055539
"7357","trans-shisool","trans-shisool","C6763",519954
"7358","trans-squalene","trans-squalene","C6764",638072
"7359","trans-theaspirane","trans-theaspirane","C7139",11298500
"7360","trans-theaspirane","trans-theaspirane","C7139",11298500
"7361","trans-theaspirane","trans-theaspirane","C7138",11298500
"7362","trans-theaspirane","trans-theaspirane","C7138",11298500
"7363","trans-thuj-3-en-10-al","trans-thuj-3-en-10-al","C6765",NA
"7364","trans-thujone","trans-thujone","C7140",91456
"7365","trans-thujone (alpha-thujone)","trans-thujone (alpha-thujone)","C6766",NA
"7366","trans-thujone (beta-thujone)","trans-thujone (beta-thujone)","C6767",NA
"7367","trans-totarol","trans-totarol","C6768",326995
"7368","trans-valerenylacetate","trans-valerenylacetate","C6769",NA
"7369","trans-valerenylisovalerate","trans-valerenylisovalerate","C6770",NA
"7370","trans-verbenol","trans-verbenol","C7141",89664
"7371","trans-verbenol+beta-guaiene","trans-verbenol+beta-guaiene","C6771",NA
"7372","trans-verbenol+trans-piperitol","trans-verbenol+trans-piperitol","C6772",NA
"7373","trans-verbenyl acetate","trans-verbenyl acetate","C7142",6428417
"7374","trans-vertocitral c","trans-vertocitral c","C6773",NA
"7375","trans alpha-bergamotene","trans alpha-bergamotene","C6778",NA
"7376","trans beta-guaiene","trans beta-guaiene","C6779",NA
"7377","trans cadina 1(6),4-diene","trans cadina 1(6),4-diene","C6780",NA
"7378","trans calamenene","trans calamenene","C6781",NA
"7379","trans linalool oxide","trans linalool oxide","C7100",NA
"7380","trans,trans-farnesol","trans,trans-farnesol","C6782",NA
"7381","trans,trans-photocitral","trans,trans-photocitral","C6783",NA
"7382","trans/trans-photocitral","trans/trans-photocitral","C6784",NA
"7383","trcyclene","trcyclene","C6787",NA
"7384","Tremetone","Tremetone","C6788",78673
"7385","trepinolene","trepinolene","C6789",NA
"7386","triacontane","triacontane","C6790",12535
"7387","tribromomethane","tribromomethane","C6791",5558
"7388","triciclene","triciclene","C6792",NA
"7389","triclene","triclene","C6793",6575
"7390","tricontane","tricontane","C6794",NA
"7391","tricosane","tricosane","C7143",12534
"7392","tricyclene","tricyclene","C7144",79035
"7393","tricyclic sesquiterpene","tricyclic sesquiterpene","C6795",NA
"7394","tricyclo-3-3-13.7-decane","tricyclo-3-3-13.7-decane","C6796",NA
"7395","tricyclo[4.4.0.0.2,7]dec-8-ene 3 methanol alpha,alpha,6,8 tetramethyl","tricyclo[4.4.0.0.2,7]dec-8-ene 3 methanol alpha,alpha,6,8 tetramethyl","C6797",NA
"7396","tricylene","tricylene","C6798",NA
"7397","tridecan-2-one","tridecan-2-one","C6799",11622
"7398","tridecanal","tridecanal","C6800",25311
"7399","tridecandelta-13-lactone","tridecandelta-13-lactone","C6801",NA
"7400","tridecane","tridecane","C7145",12388
"7401","tridecanoic acid","tridecanoic acid","C7146",12530
"7402","tridecanol","tridecanol","C7147",8207
"7403","tridecylacetate","tridecylacetate","C6802",14071
"7404","trimethyl-2-penta-decanone","trimethyl-2-penta-decanone","C6803",NA
"7405","trimethylbenzene","trimethylbenzene","C6804",10686
"7406","trimethylindoline","trimethylindoline","C6805",22266808
"7407","tritriacontane","tritriacontane","C7148",12411
"7408","ubebol","ubebol","C6806",NA
"7409","umbellulone","umbellulone","C7149",91195
"7410","undecanal","undecanal","C7150",8186
"7411","undecane","undecane","C7151",14257
"7412","undecanoic acid","undecanoic acid","C6807",8180
"7413","undecanoic acid","undecanoic acid","C6807",8180
"7414","undecanoic acid","undecanoicÂ acid","C6808",8180
"7415","undecanoic acid","undecanoicÂ acid","C6808",8180
"7416","undecanol","undecanol","C7152",8184
"7417","undecanol-3","undecanol-3","C6809",98970
"7418","undecanone","undecanone","C7153",8163
"7419","unidentified","unidentified","C6810",NA
"7420","unidentified 5 + gamma-dodecalactone","unidentified 5 + gamma-dodecalactone","C6811",NA
"7421","unknown","unknown","C6812",NA
"7422","unknown 1","unknown 1","C6813",NA
"7423","unknown 2","unknown 2","C6814",NA
"7424","unknown 3","unknown 3","C6815",NA
"7425","unknown 4","unknown 4","C6816",NA
"7426","unknown 5","unknown 5","C6817",NA
"7427","unknown 6","unknown 6","C6818",NA
"7428","unknown a","unknown a","C6819",NA
"7429","unknown b","unknown b","C6820",NA
"7430","unknown c","unknown c","C6821",NA
"7431","unknown c10h16","unknown c10h16","C6822",NA
"7432","unknown c10h16o","unknown c10h16o","C6823",NA
"7433","unknown c15h24","unknown c15h24","C6824",NA
"7434","unknown c15h24o","unknown c15h24o","C6825",NA
"7435","unknown c15h26o","unknown c15h26o","C6826",NA
"7436","unknown d","unknown d","C6827",NA
"7437","unknown e","unknown e","C6828",NA
"7438","unknown f","unknown f","C6829",NA
"7439","unknown g","unknown g","C6830",NA
"7440","unknowne","unknowne","C6831",NA
"7441","unknowns (b17)","unknowns (b17)","C6832",NA
"7442","untriacontane","untriacontane","C6833",12410
"7443","valancene","valancene","C6834",NA
"7444","valecene","valecene","C6835",NA
"7445","valencene","valencene","C7154",9855795
"7446","valencene isomer","valencene isomer","C6836",NA
"7447","valencene ketone","valencene ketone","C6837",NA
"7448","valeraldehyde","valeraldehyde","C6838",8063
"7449","valeranone","valeranone","C6839",171455
